virtualInventoryProblems
inventoryID,productID,variantID,productName,productCode,productStatus,variantName,itemsLinked,cost,price,marketPrice,priceSourceName,priceUpdateMargin,quantity,activeVariantNotUnique,pricedUnder10,syncMarginUnder10,higherMarketPrice,missingPrice,hasItems,quantityNotCorrect,syncingAttributeProblem
42939,10057,9443,air jordan 4  golf metallic green,cz2439-100,active,uk 7- eu 41 - us 8,0,271,347.99,387,stockx,22,10,,,,1,,,,
42941,10057,9446,air jordan 4  golf metallic green,cz2439-100,active,uk 8.5- eu 43 - us 9.5,0,437,560.99,567,stockx,22,10,,,,1,,,,
43103,10158,9784,jordan 1 high off-white white,aq0818-100,active,uk 8.5 eu 43 - us 9.5,0,6944.37,6069.99,5820,stockx,1,10,,,1,,,,,
43104,10158,9785,jordan 1 high off-white white,aq0818-100,active,uk 9 eu 44 - us 10,0,4799.91,4848.99,4647,stockx,1,10,,,1,,,,,
43108,10158,9789,jordan 1 high off-white white,aq0818-100,active,uk 11 eu 46 - us 12,0,6885.66,6955.99,6672,stockx,1,10,,,1,,,,,
43288,10180,9994,jordan 1 high zoom cmft london,dh4268-001,active,uk 6-eu 40,0,218,321.99,408,stockx,32,10,,,,1,,,,
43820,10234,10616,jordan 1 low x travis scott fragment design,dm7866-140,active,uk 9 - eu 44 - us 10,0,1600,1928.99,2000,stockx,17,10,,,,1,,,,
44390,10292,11255,jordan 1 mid metallic red (m),554724-122,active,uk 6- eu 40 - us 7,1,260.7,372.99,201,stockx,30,10,,,,,,1,,
45706,10785,16273,nike ld waffle sacai blue multi,bv0073-400,active,uk 6.5- eu 40.5 - us 7.5,0,463.61,594.99,600,stockx,22,10,,,,1,,,,
46435,10360,11917,jordan 1 retro high dior,cn8607-002,active,uk 12- eu 47.5 - us 13,0,7960.06,9707.99,11637,stockx,18,10,,,,1,,,,
46823,10412,12436,jordan 3 retro cool grey (gs),398614-012,active,uk 6- eu 39 - us 6.5y,1,208.17,306.99,189,stockx,32,10,,,,,,1,,
47172,10456,12866,jordan 5 oreo (m),136027-035,active,uk 8- eu 42.5 - us 9,1,233.92,344.99,214,stockx,32,10,,,,,,1,,
48031,10655,14665,nike dunk low barcelona,dj0606-400,active,uk 7.5-eu 42 - us 8.5,0,132.22,194.99,195,stockx,32,10,,,,1,,,,
48292,10680,14971,nike dunk low disrupt white sea glass (w),dm3063-100,active,uk 3- eu 36- us 5.5w,0,197.87,291.99,330,stockx,32,10,,,,1,,,,
48294,10680,14972,nike dunk low disrupt white sea glass (w),dm3063-100,active,uk 4- eu 37.5- us 6.5w,0,193.75,285.99,344,stockx,32,10,,,,1,,,,
48296,10680,14975,nike dunk low disrupt white sea glass (w),dm3063-100,active,uk 5- eu 38.5- us 7.5w,0,222.59,327.99,375,stockx,32,10,,,,1,,,,
48790,10729,15586,nike dunk low se easter pastel multi (w),dd1872-100,active,uk 6- eu 40- us 8.5w,0,192,282.99,295,stockx,32,10,,,,1,,,,
48791,10729,15585,nike dunk low se easter pastel multi (w),dd1872-100,active,uk 6.5- eu 40.5- us 9w,0,220,324.99,337,stockx,32,10,,,,1,,,,
48795,10729,15591,nike dunk low se easter pastel multi (w),dd1872-100,active,uk 8.5- eu 43- us 11w,0,340,436.99,449,stockx,22,10,,,,1,,,,
48796,10729,15592,nike dunk low se easter pastel multi (w),dd1872-100,active,uk 9- eu 44- us 11.5w,0,331,424.99,526,stockx,22,10,,,,1,,,,
48797,10729,15593,nike dunk low se easter pastel multi (w),dd1872-100,active,uk 9.5- eu 44.5- us 12w,0,330.82,424.99,477,stockx,22,10,,,,1,,,,
49772,11313,18529,yeezy boost 350 v2 antlia (non-reflective),fv3250,active,uk 6 - eu 39 1/3- us 6.5,0,247.31,317.99,350,stockx,22,10,,,,1,,,,
49773,11313,18531,yeezy boost 350 v2 antlia (non-reflective),fv3250,active,uk 6.5 - eu 40- us 7,0,283.36,363.99,369,stockx,22,10,,,,1,,,,
50254,11342,19033,yeezy boost 350 v2 synth (reflective),fv5666,active,uk 3.5 - eu 36- us 4,0,373.38,479.99,500,stockx,22,10,,,,1,,,,
53888,10750,15816,nike dunk low x off-white lot 11,dj0950-108,active,uk 4- eu 36.5- us 4.5,0,964,1234.99,1339,,,10,,,,1,,,,
53890,10750,15818,nike dunk low x off-white lot 11,dj0950-108,active,uk 5- eu 38- us 5.5,0,1075,1294.99,2444,,,10,,,,1,,,,
55735,11691,21943,nike air force 1 low prm jewels white,dn5463-100,active,uk 6.5- eu 40.5 - us 9w,1,127.83,186.99,110,stockx,32,10,,,,,,1,,
56299,11406,21216,yeezy slide earth,fv8425,active,uk 8 - eu 42- us 8,0,190.66,272.99,273,stockx,23,10,,,,1,,,,
56300,11406,21220,yeezy slide earth,fv8425,active,uk 9 - eu 43- us 9,0,156.67,171.99,156,stockx,3,10,,,1,,,,,
56393,11336,20695,yeezy boost 350 v2 natural,fz5246,active,uk 3.5- eu 36- us 4,0,201.99,259.99,286,stockx,22,10,,,,1,,,,
58202,11922,22725,nike x comme des garcons homme plus foamposite one black,dj7952-001,active,uk 12 - eu 47.5 - us 13,0,967.28,1248.99,1415,stockx,22,10,,,,1,,,,
58252,11936,22870,drew house mascot hoodie lavender,no sku,active,xl,0,370.91,343.99,353,stockx,26,10,,,,1,,,,
60341,11930,22830,nike x off-white jordan 2 black,dj4375-004,active,uk 10.5- eu 45.5 - us 11.5,0,393.57,392.99,360,stockx,2,10,,,1,,,,,
63154,10715,15424,nike dunk low photon dust (w),dd1503-103,active,uk 5- eu 38.5- us 7.5w,0,,259.99,339,,,10,,,,1,,,,
